event_id,event_date,year,in_sequence,label_sub_event_type,label_escalated,fatalities,avg_tone,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,tone_word_count,goldstein_trend,quad_class_ratio,volume_mention_spike,volume_right_censored,had_gkg_match,had_events_match,matching_method_version
USA33273,2021-08-26,2021,False,Violent demonstration,1,0,1.17891816920943,3.95284327323162,2.77392510402219,6.72676837725381,22.5381414701803,1.04022191400832,1341.0,-0.8878787878787879,0.0,1,False,True,True,v3_sequence_anchored_geo_distance
USA27400,2021-03-27,2021,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21207,2021-01-12,2021,False,Peaceful protest,0,0,,,,,,,,,,0,True,False,False,v3_sequence_anchored_geo_distance
USA21228,2021-01-13,2021,False,Peaceful protest,0,0,,,,,,,,,,0,True,False,False,v3_sequence_anchored_geo_distance
USA20009,2021-01-01,2021,True,Peaceful protest,0,0,-4.476518054104259,1.99988389643562,6.476401950539881,8.4762858469755,23.4286108208522,0.5079530941599905,1452.5,0.26923076923076916,0.0,2,False,True,True,v3_sequence_anchored_geo_distance
USA21181,2021-01-11,2021,False,Peaceful protest,0,0,-1.4966992234789114,2.4516815159176635,3.9483807393965704,6.400062255314235,23.23224439741105,1.2020286396432016,1149.6666666666667,-0.4999999999999998,0.0,6,False,True,True,v3_sequence_anchored_geo_distance
USA31654,2021-06-23,2021,False,Violent demonstration,1,0,,,,,,,,0.0,,0,False,False,True,v3_sequence_anchored_geo_distance
USA32206,2021-07-09,2021,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA52860,2023-02-20,2023,False,Violent demonstration,1,0,,,,,,,,-0.40000000000000013,1.0,0,True,False,True,v3_sequence_anchored_geo_distance
USA20060,2021-01-03,2021,False,Peaceful protest,0,0,-5.18899535128079,1.1604935958793208,6.34948894716011,7.509982543039432,21.236354357352894,0.00463499420625724,724.44,-0.4359999999999997,0.8,25,True,True,True,v3_sequence_anchored_geo_distance
USA31823,2021-06-18,2021,False,Violent demonstration,1,0,-1.006956182236852,2.921408487048716,3.9283646692855676,6.849773156334282,22.32253991095135,1.1325493997798053,1292.8,-2.7760000000000002,0.6,25,True,True,True,v3_sequence_anchored_geo_distance
USA20127,2021-01-05,2021,True,Peaceful protest,0,0,-9.638239904311789,1.1736448068611967,10.811884711172986,11.985529518034173,21.809929739603863,0.6177682979902529,899.48,-0.8120000000000003,0.71875,25,True,True,True,v3_sequence_anchored_geo_distance
USA40885,2022-03-23,2022,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21031,2021-01-06,2021,False,Peaceful protest,0,0,,,,,,,,,,0,True,False,False,v3_sequence_anchored_geo_distance
